00FR               20251118                                                                                   
0601FRA0N       20260101001220100000005000 0000000000001866   
0601FRA0N       20260101001225100000005000 0000000000001871   
0601FRA0N       20260101001230100000005000 0000000000001875   
0601FRA0N       20260101001235100000005000 0000000000001880   
0601FRA0N       20260101001240100000005000 0000000000001885   
0601FRA0N       20260101001245100000005000 0000000000001890   
0601FRA0N       20260101001250100000005000 0000000000001894   
0601FRA0N       20260101001255100000005000 0000000000001899   
0601FRA0N       20260101001260100000005000 0000000000001904   
0601FRA0N       20260101001265100000005000 0000000000001909   
0601FRA0N       20260101001270100000005000 0000000000001913   
0601FRA0N       20260101001275100000005000 0000000000001917   
0601FRA0N       20260101001280100000005000 0000000000001924   
0601FRA0N       20260101001285100000005000 0000000000001929   
0601FRA0N       20260101001290100000005000 0000000000001933   
0601FRA0N       20260101001295100000005000 0000000000001938   
0601FRA0N       20260101001300100000005000 0000000000001943   
0601FRA0N       20260101001305100000005000 0000000000001947   
0601FRA0N       20260101001310100000005000 0000000000001952   
0601FRA0N       20260101001315100000005000 0000000000001956   
0601FRA0N       20260101001320100000005000 0000000000001962   
0601FRA0N       20260101001325100000005000 0000000000001967   
0601FRA0N       20260101001330100000005000 0000000000001971   
0601FRA0N       20260101001335100000005000 0000000000001976   
0601FRA0N       20260101001340100000005000 0000000000001980   
0601FRA0N       20260101001345100000005000 0000000000001985   
0601FRA0N       20260101001350100000005000 0000000000001991   
0601FRA0N       20260101001355100000005000 0000000000001995   
0601FRA0N       20260101001360100000005000 0000000000001999   
0601FRA0N       20260101001365100000005000 0000000000002006   
0601FRA0N       20260101001370100000005000 0000000000002010   
0601FRA0N       20260101001375100000005000 0000000000002014   
0601FRA0N       20260101001380100000005000 0000000000002020   
0601FRA0N       20260101001385100000005000 0000000000002024   
0601FRA0N       20260101001390100000005000 0000000000002028   
0601FRA0N       20260101001395100000005000 0000000000002032   
0601FRA0N       20260101001400100000005000 0000000000002038   
0601FRA0N       20260101001405100000005000 0000000000002042   
0601FRA0N       20260101001410100000005000 0000000000002046   
0601FRA0N       20260101001415100000005000 0000000000002052   
0601FRA0N       20260101001420100000005000 0000000000002056   
0601FRA0N       20260101001425100000005000 0000000000002060   
0601FRA0N       20260101001430100000005000 0000000000002064   
0601FRA0N       20260101001435100000005000 0000000000002070   
0601FRA0N       20260101001440100000005000 0000000000002074   
0601FRA0N       20260101001445100000005000 0000000000002077   
0601FRA0N       20260101001450100000005000 0000000000002083   
0601FRA0N       20260101001455100000005000 0000000000002087   
0601FRA0N       20260101001460100000005000 0000000000002091   
0601FRA0N       20260101001465100000005000 0000000000002097   
0601FRA0N       20260101001470100000005000 0000000000002103   
0601FRA0N       20260101001475100000005000 0000000000002107   
0601FRA0N       20260101001480100000005000 0000000000002111   
0601FRA0N       20260101001485100000005000 0000000000002118   
0601FRA0N       20260101001490100000005000 0000000000002122   
0601FRA0N       20260101001495100000005000 0000000000002127   
0601FRA0N       20260101001500100000005000 0000000000002133   
0601FRA0N       20260101001505100000005000 0000000000002138   
0601FRA0N       20260101001510100000005000 0000000000002142   
0601FRA0N       20260101001515100000005000 0000000000002147   
0601FRA0N       20260101001520100000005000 0000000000002153   
0601FRA0N       20260101001525100000005000 0000000000002157   
0601FRA0N       20260101001530100000005000 0000000000002161   
0601FRA0N       20260101001535100000005000 0000000000002167   
0601FRA0N       20260101001540100000005000 0000000000002172   
0601FRA0N       20260101001545100000005000 0000000000002176   
0601FRA0N       20260101001550100000005000 0000000000002181   
0601FRA0N       20260101001555100000005000 0000000000002186   
0601FRA0N       20260101001560100000005000 0000000000002191   
0601FRA0N       20260101001565100000005000 0000000000002195   
0601FRA0N       20260101001570100000005000 0000000000002201   
0601FRA0N       20260101001575100000005000 0000000000002205   
0601FRA0N       20260101001580100000005000 0000000000002209   
0601FRA0N       20260101001585100000005000 0000000000002214   
0601FRA0N       20260101001590100000005000 0000000000002220   
0601FRA0N       20260101001595100000005000 0000000000002224   
0601FRA0N       20260101001600100000005000 0000000000002228   
0601FRA0N       20260101001605100000005000 0000000000002234   
0601FRA0N       20260101001610100000005000 0000000000002238   
0601FRA0N       20260101001615100000005000 0000000000002242   
0601FRA0N       20260101001620100000005000 0000000000002248   
0601FRA0N       20260101001625100000005000 0000000000002252   
0601FRA0N       20260101001630100000005000 0000000000002255   
0601FRA0N       20260101001635100000005000 0000000000002259   
0601FRA0N       20260101001640100000005000 0000000000002264   
0601FRA0N       20260101001645100000005000 0000000000002267   
0601FRA0N       20260101001650100000005000 0000000000002271   
0601FRA0N       20260101001655100000005000 0000000000002276   
0601FRA0N       20260101001660100000005000 0000000000002280   
0601FRA0N       20260101001665100000005000 0000000000002283   
0601FRA0N       20260101001670100000005000 0000000000002287   
0601FRA0N       20260101001675100000005000 0000000000002292   
0601FRA0N       20260101001680100000005000 0000000000002295   
0601FRA0N       20260101001685100000005000 0000000000002298   
0601FRA0N       20260101001690100000005000 0000000000002304   
0601FRA0N       20260101001695100000005000 0000000000002307   
0601FRA0N       20260101001700100000005000 0000000000002310   
0601FRA0N       20260101001705100000005000 0000000000002314   
0601FRA0N       20260101001710100000005000 0000000000002319   
0601FRA0N       20260101001715100000005000 0000000000002322   
0601FRA0N       20260101001720100000005000 0000000000002326   
0601FRA0N       20260101001725100000005000 0000000000002331   
0601FRA0N       20260101001730100000005000 0000000000002334   
0601FRA0N       20260101001735100000005000 0000000000002337   
0601FRA0N       20260101001740100000005000 0000000000002342   
0601FRA0N       20260101001745100000005000 0000000000002346   
0601FRA0N       20260101001750100000005000 0000000000002349   
0601FRA0N       20260101001755100000005000 0000000000002353   
0601FRA0N       20260101001760100000005000 0000000000002357   
0601FRA0N       20260101001765100000005000 0000000000002360   
0601FRA0N       20260101001770100000005000 0000000000002364   
0601FRA0N       20260101001775100000005000 0000000000002369   
0601FRA0N       20260101001780100000005000 0000000000002372   
0601FRA0N       20260101001785100000005000 0000000000002375   
0601FRA0N       20260101001790100000005000 0000000000002379   
0601FRA0N       20260101001795100000005000 0000000000002383   
0601FRA0N       20260101001800100000005000 0000000000002386   
0601FRA0N       20260101001805100000005000 0000000000002389   
0601FRA0N       20260101001810100000005000 0000000000002394   
0601FRA0N       20260101001815100000005000 0000000000002398   
0601FRA0N       20260101001820100000005000 0000000000002401   
0601FRA0N       20260101001825100000005000 0000000000002406   
0601FRA0N       20260101001830100000005000 0000000000002409   
0601FRA0N       20260101001835100000005000 0000000000002412   
0601FRA0N       20260101001840100000005000 0000000000002415   
0601FRA0N       20260101001845100000005000 0000000000002420   
0601FRA0N       20260101001850100000005000 0000000000002423   
