00JU               20251117                                                                                   
0601JUA0Y       20260101001480100000005000 0000000000002205   
0601JUA0Y       20260101001485100000005000 0000000000002209   
0601JUA0Y       20260101001490100000005000 0000000000002212   
0601JUA0Y       20260101001495100000005000 0000000000002218   
0601JUA0Y       20260101001500100000005000 0000000000002221   
0601JUA0Y       20260101001505100000005000 0000000000002225   
0601JUA0Y       20260101001510100000005000 0000000000002230   
0601JUA0Y       20260101001515100000005000 0000000000002234   
0601JUA0Y       20260101001520100000005000 0000000000002237   
0601JUA0Y       20260101001525100000005000 0000000000002240   
0601JUA0Y       20260101001530100000005000 0000000000002246   
0601JUA0Y       20260101001535100000005000 0000000000002249   
0601JUA0Y       20260101001540100000005000 0000000000002252   
0601JUA0Y       20260101001545100000005000 0000000000002256   
0601JUA0Y       20260101001550100000005000 0000000000002261   
0601JUA0Y       20260101001555100000005000 0000000000002264   
0601JUA0Y       20260101001560100000005000 0000000000002267   
0601JUA0Y       20260101001565100000005000 0000000000002271   
0601JUA0Y       20260101001570100000005000 0000000000002276   
0601JUA0Y       20260101001575100000005000 0000000000002279   
0601JUA0Y       20260101001580100000005000 0000000000002282   
0601JUA0Y       20260101001585100000005000 0000000000002285   
0601JUA0Y       20260101001590100000005000 0000000000002290   
0601JUA0Y       20260101001595100000005000 0000000000002293   
0601JUA0Y       20260101001600100000005000 0000000000002296   
0601JUA0Y       20260101001605100000005000 0000000000002301   
0601JUA0Y       20260101001610100000005000 0000000000002304   
0601JUA0Y       20260101001615100000005000 0000000000002307   
0601JUA0Y       20260101001620100000005000 0000000000002310   
0601JUA0Y       20260101001625100000005000 0000000000002315   
0601JUA0Y       20260101001630100000005000 0000000000002318   
0601JUA0Y       20260101001635100000005000 0000000000002321   
0601JUA0Y       20260101001640100000005000 0000000000002324   
0601JUA0Y       20260101001645100000005000 0000000000002328   
0601JUA0Y       20260101001650100000005000 0000000000002331   
0601JUA0Y       20260101001655100000005000 0000000000002334   
0601JUA0Y       20260101001660100000005000 0000000000002337   
0601JUA0Y       20260101001665100000005000 0000000000002342   
0601JUA0Y       20260101001670100000005000 0000000000002344   
0601JUA0Y       20260101001675100000005000 0000000000002347   
0601JUA0Y       20260101001680100000005000 0000000000002350   
0601JUA0Y       20260101001685100000005000 0000000000002354   
0601JUA0Y       20260101001690100000005000 0000000000002357   
0601JUA0Y       20260101001695100000005000 0000000000002360   
0601JUA0Y       20260101001700100000005000 0000000000002364   
0601JUA0Y       20260101001705100000005000 0000000000002367   
0601JUA0Y       20260101001710100000005000 0000000000002370   
0601JUA0Y       20260101001715100000005000 0000000000002372   
0601JUA0Y       20260101001720100000005000 0000000000002377   
0601JUA0Y       20260101001725100000005000 0000000000002379   
0601JUA0Y       20260101001730100000005000 0000000000002382   
0601JUA0Y       20260101001735100000005000 0000000000002384   
0601JUA0Y       20260101001740100000005000 0000000000002389   
0601JUA0Y       20260101001745100000005000 0000000000002391   
0601JUA0Y       20260101001750100000005000 0000000000002394   
0601JUA0Y       20260101001755100000005000 0000000000002396   
0601JUA0Y       20260101001760100000005000 0000000000002400   
0601JUA0Y       20260101001765100000005000 0000000000002403   
0601JUA0Y       20260101001770100000005000 0000000000002405   
0601JUA0Y       20260101001775100000005000 0000000000002408   
0601JUA0Y       20260101001780100000005000 0000000000002412   
0601JUA0Y       20260101001785100000005000 0000000000002414   
0601JUA0Y       20260101001790100000005000 0000000000002417   
0601JUA0Y       20260101001795100000005000 0000000000002419   
0601JUA0Y       20260101001800100000005000 0000000000002423   
0601JUA0Y       20260101001805100000005000 0000000000002425   
0601JUA0Y       20260101001810100000005000 0000000000002428   
0601JUA0Y       20260101001815100000005000 0000000000002432   
0601JUA0Y       20260101001820100000005000 0000000000002434   
0601JUA0Y       20260101001825100000005000 0000000000002436   
0601JUA0Y       20260101001830100000005000 0000000000002439   
0601JUA0Y       20260101001835100000005000 0000000000002443   
0601JUA0Y       20260101001840100000005000 0000000000002445   
0601JUA0Y       20260101001845100000005000 0000000000002447   
0601JUA0Y       20260101001850100000005000 0000000000002449   
0601JUA0Y       20260101001855100000005000 0000000000002453   
0601JUA0Y       20260101001860100000005000 0000000000002455   
0601JUA0Y       20260101001865100000005000 0000000000002457   
0601JUA0Y       20260101001870100000005000 0000000000002460   
0601JUA0Y       20260101001875100000005000 0000000000002464   
0601JUA0Y       20260101001880100000005000 0000000000002466   
0601JUA0Y       20260101001885100000005000 0000000000002469   
0601JUA0Y       20260101001890100000005000 0000000000002472   
0601JUA0Y       20260101001895100000005000 0000000000002476   
0601JUA0Y       20260101001900100000005000 0000000000002478   
0601JUA0Y       20260101001905100000005000 0000000000002481   
0601JUA0Y       20260101001910100000005000 0000000000002485   
0601JUA0Y       20260101001915100000005000 0000000000002488   
0601JUA0Y       20260101001920100000005000 0000000000002490   
0601JUA0Y       20260101001925100000005000 0000000000002493   
0601JUA0Y       20260101001930100000005000 0000000000002497   
0601JUA0Y       20260101001935100000005000 0000000000002499   
0601JUA0Y       20260101001940100000005000 0000000000002502   
0601JUA0Y       20260101001945100000005000 0000000000002504   
0601JUA0Y       20260101001950100000005000 0000000000002508   
0601JUA0Y       20260101001955100000005000 0000000000002511   
0601JUA0Y       20260101001960100000005000 0000000000002513   
0601JUA0Y       20260101001965100000005000 0000000000002516   
0601JUA0Y       20260101001970100000005000 0000000000002520   
0601JUA0Y       20260101001975100000005000 0000000000002522   
0601JUA0Y       20260101001980100000005000 0000000000002524   
0601JUA0Y       20260101001985100000005000 0000000000002527   
0601JUA0Y       20260101001990100000005000 0000000000002531   
0601JUA0Y       20260101001995100000005000 0000000000002533   
0601JUA0Y       20260101002000100000005000 0000000000002535   
0601JUA0Y       20260101002005100000005000 0000000000002538   
0601JUA0Y       20260101002010100000005000 0000000000002541   
0601JUA0Y       20260101002015100000005000 0000000000002544   
0601JUA0Y       20260101002020100000005000 0000000000002546   
0601JUA0Y       20260101002025100000005000 0000000000002550   
0601JUA0Y       20260101002030100000005000 0000000000002552   
0601JUA0Y       20260101002035100000005000 0000000000002554   
0601JUA0Y       20260101002040100000005000 0000000000002556   
0601JUA0Y       20260101002045100000005000 0000000000002560   
0601JUA0Y       20260101002050100000005000 0000000000002563   
0601JUA0Y       20260101002055100000005000 0000000000002565   
0601JUA0Y       20260101002060100000005000 0000000000002568   
0601JUA0Y       20260101002065100000005000 0000000000002572   
0601JUA0Y       20260101002070100000005000 0000000000002574   
0601JUA0Y       20260101002075100000005000 0000000000002576   
0601JUA0Y       20260101002080100000005000 0000000000002579   
0601JUA0Y       20260101002085100000005000 0000000000002583   
0601JUA0Y       20260101002090100000005000 0000000000002585   
0601JUA0Y       20260101002095100000005000 0000000000002587   
0601JUA0Y       20260101002100100000005000 0000000000002589   
0601JUA0Y       20260101002105100000005000 0000000000002593   
0601JUA0Y       20260101002110100000005000 0000000000002596   
0601JUA0Y       20260101002115100000005000 0000000000002598   
0601JUA0Y       20260101002120100000005000 0000000000002602   
